,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,29:15,161,"1,708",536,6,23,42.7,164,7,410,231,17,18,506,3,100%,0,6,1,90.6%,299,12,19,6,0,78%,31/40,Cowboys vs Rabbitohs,Cowboys,2013
1,40%,19:30,143,"1,328",438,3,12,40.3,131,12,354,194,10,18,555,2,94%,1,4,4,90.6%,338,23,12,7,1,73%,24/33,Cowboys vs Rabbitohs,Rabbitohs,2013
