,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:32,182,"2,014",502,6,39,50.4,369,3.35s,7,398,213,27,22,494,0,88%,10,3,84.8%,308,34,0,21,10,6,8,75%,30/40,Roosters vs Knights,Roosters,2019
1,49%,26:27,163,"1,375",357,5,34,39.3,169,3.5s,9,389,217,35,20,649,1,92%,2,4,86.2%,330,39,2,14,11,5,8,71%,25/35,Roosters vs Knights,Knights,2019
