,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,23:15,158,"1,225",411,0,27,32.3,110,3.4s,5,337,184,17,14,403,78%,2,3,82.8%,336,50,20,16,8,8,63%,24/38,Titans vs Broncos,Titans,2018
1,57%,30:50,196,"1,891",607,8,50,47.3,265,3.81s,15,417,228,25,19,539,83%,4,4,88.9%,319,27,13,9,12,8,78%,31/40,Titans vs Broncos,Broncos,2018
