,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:19,192,"1,639",552,3,24,41,105,3.35s,10,420,242,7,20,576,58%,4,4,85.3%,324,36,1,20,9,6,7,2,78%,31/40,Dragons vs Roosters,Dragons,2019
1,49%,26:15,184,"1,900",656,6,36,51.4,212,3.25s,14,393,209,6,19,547,60%,5,1,87.6%,339,24,0,24,12,9,8,0,73%,27/37,Dragons vs Roosters,Roosters,2019
