,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Send Offs,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:28,175,"1,887",655,5,42,47.2,204,3.95s,15,374,195,21,16,447,1,86%,1,4,87.6%,324,28,0,18,8,1,1,72%,29/40,Raiders vs Wests Tigers,Raiders,2015
1,54%,27:34,176,"1,723",553,5,28,44.2,134,3.85s,10,376,202,16,19,485,0,90%,3,5,82.2%,333,42,1,30,9,0,0,79%,31/39,Raiders vs Wests Tigers,Wests Tigers,2015
