,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,24:40,190,"1,607",534,4,48,45.9,156,3.21s,20,392,205,22,17,454,0,64%,1,6,2,88.4%,359,31,1,16,16,3,8,66%,23/35,Dragons vs Wests Tigers,Dragons,2018
1,58%,34:03,194,"1,652",572,3,31,44.6,200,3.72s,11,463,253,33,26,671,4,44%,0,4,10,81.6%,347,48,0,30,9,2,7,81%,30/37,Dragons vs Wests Tigers,Wests Tigers,2018
