,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:45,157,"1,386",473,5,37,36.5,85,3.2s,11,356,192,9,15,373,0,75%,0,3,4,94.3%,411,20,0,5,12,6,8,0,68%,26/38,Warriors vs Cowboys,Warriors,2019
1,52%,27:54,168,"1,510",502,1,20,40.8,130,3.53s,2,399,212,5,23,570,2,62%,1,2,7,85.3%,313,37,1,17,8,10,8,1,84%,31/37,Warriors vs Cowboys,Cowboys,2019
