,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:55,169,"1,460",495,4,26,38.4,137,3.74s,15,393,216,22,18,488,2,91%,5,4,90.3%,336,16,20,8,6,0,8,1,82%,31/38,Titans vs Sea Eagles,Titans,2016
1,48%,24:51,175,"1,564",452,3,16,42.3,163,3s,14,369,193,10,19,359,3,55%,5,10,87.4%,348,26,24,9,10,1,7,0,73%,27/37,Titans vs Sea Eagles,Sea Eagles,2016
