,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:51,185,"1,494",423,4,31,38.3,175,3.39s,17,395,205,34,17,354,100%,3,4,87.3%,289,26,1,16,7,8,7,0,79%,31/39,Titans vs Sea Eagles,Titans,2018
1,44%,21:52,139,"1,326",409,4,26,36.8,124,3.95s,9,304,160,31,13,435,40%,2,2,85.4%,321,31,1,24,11,9,8,2,69%,25/36,Titans vs Sea Eagles,Sea Eagles,2018
