,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,34:51,168,"1,452",552,1,18,39.2,170,7,438,250,23,22,780,1,100%,0,3,2,95.2%,334,15,1,2,5,1,73%,27/37,Eels vs Panthers,Eels,2013
1,37%,20:28,146,"1,271",460,2,15,31,149,1,382,210,25,27,901,0,92%,1,4,5,93.1%,366,18,0,9,4,0,80%,33/41,Eels vs Panthers,Panthers,2013
