,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:05,165,"1,558",522,6,21,38,166,15,407,210,11,22,463,1,93%,3,6,90%,296,16,1,17,3,78%,32/41,Broncos vs Sea Eagles,Broncos,2014
1,42%,21:04,152,"1,275",464,3,16,38.6,126,11,384,213,7,18,476,0,77%,4,0,87.3%,315,21,0,25,8,73%,24/33,Broncos vs Sea Eagles,Sea Eagles,2014
