,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,35:20,212,"1,893",678,5,37,37.9,386,9,533,287,19,29,850,1,100%,4,6,92.1%,419,25,0,11,2,82%,41/50,Knights vs Broncos,Knights,2013
1,48%,32:36,211,"1,707",519,5,25,38.8,231,10,477,233,9,31,931,3,92%,4,7,90.8%,476,37,2,11,3,89%,39/44,Knights vs Broncos,Broncos,2013
