,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:24,164,"1,377",548,5,22,38.3,105,3.8s,6,385,206,19,22,453,1,67%,5,7,86.3%,328,29,23,9,6,7,83%,30/36,Titans vs Sharks,Titans,2017
1,52%,27:31,170,"1,507",597,3,29,43.1,138,3.59s,14,371,200,26,15,311,1,62%,2,6,90.9%,298,22,8,12,4,6,77%,27/35,Titans vs Sharks,Sharks,2017
