,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,27:49,196,"2,006",700,9,37,51.5,209,3.76s,7,462,259,33,21,473,1,64%,3,6,89.8%,282,14,18,2,79%,31/39,Rabbitohs vs Warriors,Rabbitohs,2015
1,41%,19:20,144,"1,423",539,2,14,44.5,183,3.84s,11,354,194,19,15,398,1,78%,8,3,88.6%,366,37,10,4,59%,19/32,Rabbitohs vs Warriors,Warriors,2015
