,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,29:09,184,"1,655",567,3,28,42.5,137,3.6s,9,420,210,43,25,755,1,93%,4,7,88.1%,363,27,22,9,6,0,8,82%,32/39,Warriors vs Bulldogs,Warriors,2017
1,50%,29:09,187,"1,619",600,3,27,41.5,229,3.26s,16,403,201,36,24,687,1,64%,10,4,89.6%,343,28,12,10,4,1,8,77%,30/39,Warriors vs Bulldogs,Bulldogs,2017
