,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:26,172,"1,576",420,3,20,46.4,155,3.45s,2,359,184,7,17,457,0,80%,4,5,90.2%,357,33,0,6,9,9,1,8,0,76%,26/34,Dragons vs Storm,Dragons,2019
1,52%,28:39,174,"1,604",425,4,33,38.2,191,3.45s,4,387,196,7,25,733,2,100%,6,4,93.6%,365,20,1,5,9,4,0,8,1,83%,35/42,Dragons vs Storm,Storm,2019
