,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:51,178,"1,529",475,4,40,36.4,117,3.54s,14,411,230,6,17,437,2,60%,1,4,82.7%,324,41,1,27,14,10,0,0,7,71%,30/42,Titans vs Panthers,Titans,2018
1,50%,27:51,200,"1,703",524,5,41,42.6,156,3.32s,18,408,232,16,11,239,1,67%,4,2,84.5%,343,40,0,23,17,13,1,1,8,65%,26/40,Titans vs Panthers,Panthers,2018
