,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,32:00,199,"1,607",542,0,25,40.2,123,5.53s,8,445,250,23,23,536,62%,5,7,84.7%,321,32,1,26,6,1,78%,31/40,Cowboys vs Knights,Cowboys,2015
1,41%,22:14,169,"1,425",478,5,32,34.8,169,5.24s,16,384,198,17,21,674,69%,5,2,90.7%,361,25,1,12,10,2,73%,30/41,Cowboys vs Knights,Knights,2015
