,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:37,157,"1,367",423,0,25,35.1,164,3.26s,9,372,189,8,25,696,3,75%,4,6,92%,347,17,13,9,10,8,0,82%,32/39,Dragons vs Sea Eagles,Dragons,2019
1,54%,28:54,174,"1,395",445,2,17,33.2,234,3.73s,8,430,234,6,22,578,5,57%,6,9,87.5%,272,25,14,13,6,7,1,81%,34/42,Dragons vs Sea Eagles,Sea Eagles,2019
