,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:28,178,"1,830",661,4,31,44.6,435,3.65s,6,388,211,23,19,464,2,70%,2,6,88.9%,353,28,0,16,6,1,83%,34/41,Sharks vs Cowboys,Sharks,2015
1,45%,24:07,168,"1,497",525,3,28,41.6,152,4.12s,8,384,199,29,23,516,1,83%,3,8,88.8%,349,31,1,13,8,1,75%,27/36,Sharks vs Cowboys,Cowboys,2015
