,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,32:59,199,"1,932",633,7,39,48.3,156,3.84s,11,426,229,26,19,486,1,62%,4,3,90.8%,374,21,0,17,3,68%,27/40,Cowboys vs Sea Eagles,Cowboys,2015
1,44%,25:54,200,"1,737",654,2,21,43.4,172,3.28s,12,463,252,32,26,624,1,75%,6,6,86%,349,39,2,18,5,80%,32/40,Cowboys vs Sea Eagles,Sea Eagles,2015
