,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,22:30,161,"1,505",481,4,27,35.8,150,11,385,217,11,17,391,1,100%,2,5,89.9%,275,19,0,12,9,1,71%,30/42,Sea Eagles vs Panthers,Sea Eagles,2014
1,52%,24:23,136,"1,378",395,6,19,36.3,169,7,327,173,4,17,413,0,73%,2,4,87.8%,295,27,2,14,10,1,74%,28/38,Sea Eagles vs Panthers,Panthers,2014
