,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:42,180,"1,748",628,3,33,46,207,3.24s,10,421,225,14,22,497,2,80%,4,4,86.3%,314,26,24,8,7,7,2,84%,32/38,Bulldogs vs Eels,Bulldogs,2018
1,46%,26:09,166,"1,535",486,5,26,40.4,184,3.29s,14,384,205,13,20,576,2,64%,4,3,88.9%,377,33,14,8,9,8,2,79%,30/38,Bulldogs vs Eels,Eels,2018
