,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,19:11,125,"1,186",467,5,17,34.9,119,9,314,180,4,15,402,0,100%,3,1,82.8%,288,41,19,7,0,74%,25/34,Wests Tigers vs Roosters,Wests Tigers,2013
1,58%,26:29,156,"1,843",531,9,41,48.5,329,11,352,190,12,15,385,1,100%,4,3,88.8%,253,17,15,12,1,79%,30/38,Wests Tigers vs Roosters,Roosters,2013
