,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,31:02,207,"1,828",571,5,31,43.5,274,2.88s,7,472,264,16,22,551,5,43%,0,1,7,88.2%,336,26,1,19,12,8,9,2,81%,34/42,Warriors vs Panthers,Warriors,2016
1,46%,26:26,184,"1,544",492,4,26,34.3,128,2.94s,14,397,214,17,17,519,0,56%,1,4,1,89.7%,392,31,1,14,12,6,9,0,71%,32/45,Warriors vs Panthers,Panthers,2016
