,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:40,157,"1,627",569,5,46,49.3,159,3.43s,5,373,200,13,22,534,1,69%,5,5,84.6%,329,37,23,5,9,0,7,1,91%,30/33,Warriors vs Titans,Warriors,2019
1,50%,25:40,159,"1,355",485,3,37,34.8,171,3.67s,11,387,230,10,16,262,2,40%,1,7,85.9%,328,46,8,14,6,1,7,0,69%,27/39,Warriors vs Titans,Titans,2019
