,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:33,172,"1,533",570,7,25,41.5,189,3.68s,3,401,224,20,19,497,0,86%,5,4,90.1%,274,20,0,10,9,8,1,7,0,73%,27/37,Cowboys vs Rabbitohs,Cowboys,2016
1,46%,22:37,146,"1,227",418,2,20,31.5,146,3.5s,7,314,165,27,15,361,1,62%,4,7,91.7%,343,25,1,6,11,4,1,6,2,69%,27/39,Cowboys vs Rabbitohs,Rabbitohs,2016
