,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:10,150,"1,115",204,2,28,31.9,96,3.33s,8,354,201,6,16,345,2,69%,2,6,89.2%,348,24,18,6,6,8,0,80%,28/35,Roosters vs Rabbitohs,Roosters,2016
1,50%,26:10,184,"1,604",354,7,24,40.1,238,3.33s,12,403,205,16,23,531,2,88%,5,7,89.4%,320,28,10,4,11,7,4,88%,35/40,Roosters vs Rabbitohs,Rabbitohs,2016
