,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:26,162,"1,283",402,1,26,32.9,166,3.54s,10,394,214,19,18,343,1,77%,7,3,87.5%,377,37,17,13,9,0,8,69%,27/39,Cowboys vs Storm,Cowboys,2018
1,51%,28:33,180,"1,478",462,3,37,36.1,98,3.27s,13,394,191,25,22,470,3,53%,4,9,89.9%,339,26,12,11,10,2,8,80%,33/41,Cowboys vs Storm,Storm,2018
