,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,29:12,148,"1,272",454,3,21,31,224,12,369,204,19,15,438,3,93%,1,4,5,88.2%,306,20,21,7,0,63%,26/41,Warriors vs Titans,Warriors,2013
1,38%,17:54,155,"1,222",490,3,20,33,109,16,339,168,28,19,534,1,75%,2,3,5,88.2%,307,21,20,7,1,78%,29/37,Warriors vs Titans,Titans,2013
