,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:14,187,"1,889",556,8,38,47.2,179,3.49s,12,411,216,18,24,526,0,92%,4,10,87.4%,341,26,1,23,6,6,1,8,88%,35/40,Eels vs Broncos,Eels,2017
1,46%,25:46,170,"1,626",503,3,26,47.8,151,3.75s,11,377,210,27,19,579,1,67%,7,2,85.1%,359,38,2,25,7,9,0,8,82%,28/34,Eels vs Broncos,Broncos,2017
