,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,17:34,128,"1,322",425,5,25,37.8,130,13,316,175,4,11,258,1,88%,1,1,85.8%,296,24,0,25,8,60%,21/35,Eels vs Sea Eagles,Eels,2013
1,58%,24:15,159,"1,703",493,6,24,41.6,206,15,395,226,15,20,535,4,89%,1,6,86.1%,253,25,1,16,10,78%,32/41,Eels vs Sea Eagles,Sea Eagles,2013
