,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:57,199,"1,537",415,3,23,37.5,178,3.53s,18,454,261,16,21,352,3,80%,5,7,84.8%,291,29,23,11,8,2,7,80%,33/41,Bulldogs vs Roosters,Bulldogs,2019
1,47%,25:40,168,"1,446",378,5,29,41.3,96,3.37s,13,387,221,18,15,434,0,100%,4,2,87.4%,355,23,28,10,13,1,7,74%,26/35,Bulldogs vs Roosters,Roosters,2019
