,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:19,178,"1,838",600,8,30,46,266,3.42s,12,403,208,26,22,738,0,92%,1,1,84%,367,39,1,31,7,1,78%,31/40,Panthers vs Warriors,Panthers,2015
1,48%,25:13,193,"1,689",631,2,39,41.2,185,3.79s,17,446,248,23,23,551,2,50%,5,6,88.7%,352,30,1,15,7,0,73%,30/41,Panthers vs Warriors,Warriors,2015
