,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,28:16,216,"1,894",611,5,31,49.9,211,3.53s,13,450,241,15,25,700,1,92%,5,7,92.3%,393,26,7,9,3,0,7,1,82%,31/38,Wests Tigers vs Roosters,Wests Tigers,2019
1,48%,26:05,182,"1,778",619,4,26,46.8,230,3.47s,5,384,197,5,26,795,2,71%,10,2,88.3%,364,31,17,5,5,1,7,1,87%,33/38,Wests Tigers vs Roosters,Roosters,2019
