,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,23:10,164,"1,572",559,4,18,40.3,124,17,425,229,11,24,530,2,58%,8,6,89%,332,22,1,19,6,82%,32/39,Dragons vs Sharks,Dragons,2013
1,50%,23:10,157,"1,576",606,2,22,40.4,180,12,367,194,15,17,301,4,85%,4,7,88.7%,331,18,0,24,6,54%,21/39,Dragons vs Sharks,Sharks,2013
