,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:43,190,"1,828",623,11,45,46.9,155,3.55s,17,415,218,19,16,314,0,67%,4,6,83.3%,264,35,18,9,9,1,7,0,85%,33/39,Raiders vs Titans,Raiders,2018
1,48%,24:40,150,"1,417",421,4,35,38.3,109,3.37s,11,348,198,21,11,182,1,70%,1,6,82.3%,345,45,29,15,10,0,5,1,65%,24/37,Raiders vs Titans,Titans,2018
