,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:28,169,"1,311",427,1,38,29.8,89,3.82s,7,330,180,42,13,369,2,67%,1,4,83.6%,296,32,26,16,8,0,8,0,70%,31/44,Storm vs Wests Tigers,Storm,2018
1,54%,27:32,187,"1,386",516,1,32,35.5,126,3.56s,24,392,205,45,18,464,3,100%,6,6,84.8%,291,38,14,9,18,1,8,2,77%,30/39,Storm vs Wests Tigers,Wests Tigers,2018
