,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,20:42,169,"1,729",609,7,23,40.2,246,15,403,217,10,25,618,2,100%,4,5,83.9%,224,25,1,18,5,88%,38/43,Panthers vs Warriors,Panthers,2013
1,49%,19:53,114,933,358,4,25,34.6,112,7,278,159,7,11,343,1,88%,2,1,88.1%,326,23,0,21,9,56%,15/27,Panthers vs Warriors,Warriors,2013
