,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:16,163,"1,466",520,4,26,39.6,148,3.95s,12,376,199,9,19,514,3,69%,3,5,87.4%,305,28,16,5,76%,28/37,Warriors vs Roosters,Warriors,2015
1,48%,23:19,150,"1,415",508,2,28,40.5,113,3.64s,11,340,170,4,17,305,0,80%,7,2,87.7%,314,26,18,5,71%,25/35,Warriors vs Roosters,Roosters,2015
