,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:24,153,"1,440",453,4,39,43.6,155,3.4s,6,351,193,26,18,507,2,67%,1,6,85.2%,312,34,20,10,5,8,73%,24/33,Sea Eagles vs Broncos,Sea Eagles,2017
1,55%,28:36,193,"1,726",486,2,34,44.3,176,3.52s,13,416,229,48,20,525,3,60%,2,6,86.8%,308,39,8,8,5,8,77%,30/39,Sea Eagles vs Broncos,Broncos,2017
