,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:34,161,"1,444",510,3,31,36.1,172,10,386,202,15,24,812,1,93%,2,4,90.4%,358,30,8,8,85%,34/40,Titans vs Warriors,Titans,2013
1,59%,31:03,172,"1,722",474,5,30,43.1,280,8,422,240,17,17,450,1,82%,5,3,88.8%,334,31,11,8,75%,30/40,Titans vs Warriors,Warriors,2013
