,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,21:14,143,"1,285",359,4,19,39,114,14,334,183,8,14,430,1,92%,1,2,90%,296,26,1,7,5,0,85%,28/33,Knights vs Warriors,Knights,2014
1,53%,23:57,156,"1,300",383,6,26,36.1,141,5,380,220,3,15,418,3,83%,2,5,86.9%,266,19,0,21,9,1,72%,26/36,Knights vs Warriors,Warriors,2014
