,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,29:12,153,"1,237",433,0,5,28.1,190,7,377,202,10,21,532,4,94%,3,5,88.9%,305,28,10,9,1,59%,26/44,Panthers vs Rabbitohs,Panthers,2014
1,39%,18:40,150,"1,237",410,3,28,32.6,166,6,330,164,7,17,523,2,83%,3,5,94.9%,332,5,13,11,1,71%,27/38,Panthers vs Rabbitohs,Rabbitohs,2014
