,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,31:47,179,"1,631",590,4,26,41.8,178,3.55s,7,407,236,27,20,410,69%,4,9,90.9%,360,27,0,9,8,0,79%,31/39,Cowboys vs Rabbitohs,Cowboys,2015
1,40%,21:11,171,"1,551",572,5,27,39.8,136,3.78s,6,414,227,24,22,568,64%,8,4,90.7%,361,26,1,11,10,1,87%,34/39,Cowboys vs Rabbitohs,Rabbitohs,2015
