,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Send Offs,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:51,138,"1,164",345,0,15,30.6,84,3.12s,12,269,131,31,12,287,1,91%,3,4,90.5%,354,22,15,14,12,1,1,1,8,2,61%,23/38,Storm vs Sea Eagles,Storm,2018
1,57%,27:38,175,"1,602",524,2,22,43.3,69,3.59s,12,405,230,35,18,352,0,56%,5,5,89%,258,15,17,9,13,0,0,3,6,1,81%,30/37,Storm vs Sea Eagles,Sea Eagles,2018
