,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:05,196,"1,848",604,3,49,54.4,203,3.59s,19,421,227,37,20,373,0,50%,2,5,84%,288,36,0,19,9,6,6,0,82%,28/34,Bulldogs vs Raiders,Bulldogs,2017
1,46%,23:55,156,"1,468",400,4,36,45.9,206,3.62s,15,333,168,34,17,484,1,55%,2,2,81.3%,296,49,1,19,12,4,7,2,69%,22/32,Bulldogs vs Raiders,Raiders,2017
