,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,32:10,175,"1,590",625,3,27,37.9,212,6,431,234,20,24,613,2,87%,4,5,90.8%,317,18,14,9,1,81%,34/42,Bulldogs vs Broncos,Bulldogs,2013
1,40%,21:27,164,"1,442",476,2,18,35.2,136,11,364,184,12,22,629,2,71%,1,4,91%,362,27,9,7,0,73%,30/41,Bulldogs vs Broncos,Broncos,2013
