,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:15,156,"1,375",381,3,30,39.3,190,3.51s,19,347,187,16,15,380,2,100%,4,5,91.6%,384,20,15,8,4,8,0,71%,25/35,Rabbitohs vs Bulldogs,Rabbitohs,2016
1,55%,27:12,183,"1,693",520,8,20,42.3,255,3.7s,10,413,220,13,20,552,2,100%,2,8,84.6%,292,30,23,7,6,7,3,85%,34/40,Rabbitohs vs Bulldogs,Bulldogs,2016
