,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:00,151,"1,162",342,3,23,29,124,4.21s,17,331,180,14,17,486,3,67%,4,3,87.2%,349,34,17,8,70%,28/40,Warriors vs Sea Eagles,Warriors,2015
1,54%,28:11,173,"1,572",531,4,34,36.6,248,3.87s,9,438,256,28,25,462,3,100%,4,8,85.2%,265,23,23,10,84%,36/43,Warriors vs Sea Eagles,Sea Eagles,2015
