,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:46,168,"1,513",371,7,31,38.8,131,3.67s,8,351,192,20,15,456,2,62%,1,3,82.6%,362,47,1,29,14,12,8,74%,29/39,Storm vs Panthers,Storm,2017
1,57%,30:10,205,"1,595",492,1,47,39.9,154,3.77s,18,441,254,46,14,248,0,83%,8,1,86.6%,271,31,0,11,14,7,8,75%,30/40,Storm vs Panthers,Panthers,2017
