,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:37,176,"1,804",597,7,34,46.3,308,3.32s,16,417,224,39,23,453,1,50%,0,8,5,90.5%,276,22,0,7,7,2,1,8,0,87%,34/39,Panthers vs Warriors,Panthers,2017
1,42%,21:26,147,"1,339",403,4,22,41.9,97,3.81s,5,341,176,25,21,775,0,50%,1,1,3,85%,322,34,3,23,11,5,0,8,2,81%,26/32,Panthers vs Warriors,Warriors,2017
