,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,33:26,214,"2,014",763,0,18,45.8,204,3.35s,17,484,256,34,23,481,3,100%,8,7,91.6%,336,26,5,11,4,0,8,77%,34/44,Bulldogs vs Roosters,Bulldogs,2018
1,45%,27:21,160,"1,539",578,1,26,42.8,175,3.39s,5,393,208,9,20,615,2,79%,3,3,89.8%,440,18,32,16,7,1,8,67%,24/36,Bulldogs vs Roosters,Roosters,2018
