,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,19:15,159,"1,484",523,2,17,42.4,168,3.68s,9,371,207,16,20,461,2,64%,2,6,86.9%,344,32,20,6,63%,22/35,Bulldogs vs Roosters,Bulldogs,2015
1,63%,32:47,187,"1,734",537,5,32,43.4,306,3.58s,16,423,221,26,24,478,2,100%,6,7,90.7%,311,17,15,4,78%,31/40,Bulldogs vs Roosters,Roosters,2015
