,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,19:55,160,"1,440",438,7,32,40,140,17,429,251,21,16,361,0,82%,4,4,85.2%,304,42,0,11,1,67%,24/36,Warriors vs Rabbitohs,Warriors,2013
1,61%,31:09,147,"1,473",436,3,42,44.6,165,9,347,172,16,23,592,3,100%,6,5,84.9%,315,32,2,24,4,76%,25/33,Warriors vs Rabbitohs,Rabbitohs,2013
