,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,22:01,162,"1,351",386,5,34,38.6,143,3.31s,6,367,200,25,15,345,60%,5,2,86.4%,255,35,5,9,11,2,6,83%,29/35,Titans vs Knights,Titans,2018
1,48%,20:19,143,"1,227",322,7,35,35.1,193,3.36s,5,287,157,11,11,365,56%,3,2,88.2%,322,34,9,7,10,0,8,86%,30/35,Titans vs Knights,Knights,2018
