,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,30:15,185,"1,757",531,7,49,42.9,198,3.53s,10,420,226,15,17,383,3,62%,8,6,82.7%,249,34,1,18,8,5,8,80%,33/41,Panthers vs Wests Tigers,Panthers,2016
1,38%,18:32,130,"1,229",407,4,34,38.4,139,3.44s,12,297,151,5,16,412,2,40%,3,3,85.7%,359,49,0,11,12,7,8,75%,24/32,Panthers vs Wests Tigers,Wests Tigers,2016
