,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:42,178,"1,466",410,4,31,37.6,213,3.78s,5,378,199,8,18,635,1,79%,4,3,87.2%,342,37,13,11,4,0,7,2,72%,28/39,Rabbitohs vs Roosters,Rabbitohs,2019
1,51%,28:50,185,"1,760",486,2,37,46.3,288,3.57s,12,432,239,12,21,600,4,86%,3,6,89.6%,346,31,9,14,8,2,7,2,74%,28/38,Rabbitohs vs Roosters,Roosters,2019
