,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,28:48,192,"1,553",386,6,45,37,146,3.48s,13,421,246,37,12,246,1,83%,5,2,86.1%,210,26,1,8,12,8,0,8,0,71%,30/42,Warriors vs Knights,Warriors,2016
1,37%,16:55,122,921,251,3,26,27.1,59,3.62s,6,280,151,20,13,369,1,43%,2,2,82.4%,328,45,0,25,8,11,2,8,2,74%,25/34,Warriors vs Knights,Knights,2016
