,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,21:06,167,"1,418",491,3,15,41.7,108,3.38s,6,384,206,27,26,612,2,62%,3,6,90.8%,387,20,19,6,79%,27/34,Bulldogs vs Broncos,Bulldogs,2015
1,63%,35:55,196,"1,802",586,4,20,42.9,262,2.71s,14,458,248,39,24,519,2,73%,2,9,93.2%,327,15,9,4,86%,36/42,Bulldogs vs Broncos,Broncos,2015
