,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,32:38,194,"1,889",474,4,33,43.9,267,3.25s,10,448,241,12,29,694,2,78%,1,10,8,89.8%,298,25,0,9,10,4,8,77%,33/43,Roosters vs Dragons,Roosters,2019
1,41%,22:41,157,"1,480",314,4,25,41.1,120,3.22s,4,344,185,11,19,516,0,69%,0,6,3,88.8%,380,33,2,15,14,6,8,67%,24/36,Roosters vs Dragons,Dragons,2019
