,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,27:15,167,"1,386",420,4,32,33.8,223,3.6s,5,370,214,19,14,373,3,62%,0,3,4,90.1%,283,27,4,11,8,0,0,8,2,76%,31/41,Cowboys vs Panthers,Cowboys,2018
1,42%,19:43,136,"1,229",407,2,27,36.2,200,3.5s,4,300,147,13,20,701,0,100%,1,2,3,88.9%,313,32,7,6,13,1,1,8,0,85%,29/34,Cowboys vs Panthers,Panthers,2018
