,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:19,144,"1,303",445,2,25,36.2,148,3.33s,7,324,166,12,21,579,3,94%,2,6,88.3%,325,22,21,11,7,0,7,78%,28/36,Bulldogs vs Eels,Bulldogs,2017
1,56%,28:24,179,"1,697",603,3,21,40.4,242,3.5s,13,404,207,18,27,701,8,57%,2,9,89.2%,321,25,14,6,7,1,7,88%,37/42,Bulldogs vs Eels,Eels,2017
