,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:20,183,"1,412",431,3,46,37.2,79,3.67s,17,386,191,24,19,547,0,80%,2,4,86.6%,344,27,2,26,7,8,2,7,82%,31/38,Dragons vs Panthers,Dragons,2016
1,49%,26:15,166,"1,533",439,5,27,42.6,229,3.59s,11,389,205,16,19,438,1,100%,5,4,80.7%,301,46,0,26,11,9,0,7,75%,27/36,Dragons vs Panthers,Panthers,2016
